N,P,K,temperature,humidity,ph,rainfall,label
16,19,42,18.02,91.2,6.36,107.94,pomegranate
90,40,35,25.71,82.83,6.59,272.55,rice
19,50,17,31.93,45.79,9.16,54.49,mothbeans
17,134,202,22.81,90.86,6.0,110.3,apple
34,30,36,22.95,90.44,6.08,104.58,pomegranate
90,51,23,23.26,60.68,5.64,78.39,maize
114,90,51,29.46,76.85,6.08,97.19,banana
24,33,32,30.75,46.67,6.15,87.85,mango
25,72,80,20.09,17.12,7.7,84.32,chickpea
6,137,197,21.57,94.48,5.7,112.7,apple
15,72,17,36.26,35.95,5.54,99.39,pigeonpeas
92,42,17,24.0,63.07,6.99,80.63,maize
18,10,38,21.04,85.89,6.22,105.98,pomegranate
8,25,40,24.8,91.09,6.35,101.14,pomegranate
25,126,202,21.71,92.21,6.15,123.41,apple
59,64,79,20.25,19.68,7.97,91.37,chickpea
81,23,27,23.49,69.13,6.9,186.43,coffee
36,124,199,9.98,80.45,6.02,67.68,grapes
24,64,22,18.17,19.35,5.73,67.04,kidneybeans
117,86,47,28.48,82.93,6.32,115.72,banana
19,71,17,18.74,67.81,6.46,42.04,lentil
30,46,18,28.86,89.88,6.04,61.68,mungbean
13,60,19,22.97,68.28,6.73,66.93,lentil
99,71,46,26.38,84.72,6.33,104.46,banana
67,40,38,23.67,81.73,5.94,253.42,rice
19,78,19,25.28,50.76,4.62,108.29,pigeonpeas
39,118,202,24.79,81.55,6.13,72.04,grapes
113,52,21,23.71,76.35,6.19,93.26,cotton
118,48,24,26.98,80.83,7.62,73.08,cotton
28,119,198,20.2,83.22,5.78,67.11,grapes
52,75,76,18.98,14.35,7.1,80.45,chickpea
26,56,18,28.29,55.34,5.14,105.33,pigeonpeas
82,52,22,19.79,62.12,5.86,76.27,maize
45,70,84,17.18,15.69,7.9,96.16,chickpea
23,73,16,23.99,51.58,6.48,125.06,pigeonpeas
114,20,35,24.88,56.78,6.09,174.31,coffee
92,42,19,18.63,55.25,6.94,101.8,maize
38,71,78,17.75,16.78,6.71,85.43,chickpea
28,126,195,22.89,92.68,6.34,120.53,apple
35,136,200,20.46,93.03,5.62,108.43,apple
14,52,21,26.14,61.97,8.28,54.75,mothbeans
16,117,198,11.77,83.23,6.45,65.72,grapes
37,62,47,27.58,94.37,6.62,95.28,papaya
25,37,32,28.21,54.02,5.6,95.68,mango
35,61,22,20.32,21.57,5.74,80.59,kidneybeans
40,55,80,17.23,14.71,6.24,87.72,chickpea
85,10,48,29.61,93.36,6.8,21.25,muskmelon
77,45,21,23.08,55.45,6.06,91.29,maize
4,26,40,22.5,85.65,6.58,105.61,pomegranate
100,23,29,26.23,64.9,6.35,170.27,coffee
97,48,20,24.39,61.5,6.55,99.79,maize
31,63,23,30.39,63.11,6.92,82.9,blackgram
36,7,29,25.5,90.17,6.16,198.2,coconut
61,58,38,24.64,81.25,6.28,245.61,rice
15,19,26,27.13,98.32,6.31,167.95,coconut
5,35,28,35.77,54.44,5.72,94.25,mango
139,52,23,23.62,81.76,7.19,84.13,cotton
9,36,22,26.95,61.61,6.34,64.05,mothbeans
100,53,19,23.27,75.13,7.08,94.05,cotton
97,30,26,23.44,53.44,6.78,160.7,coffee
120,21,34,27.15,54.49,6.6,170.48,coffee
33,39,33,27.02,51.36,5.58,90.15,mango
27,57,76,18.84,15.24,6.73,82.62,chickpea
61,60,36,26.26,75.61,6.2,171.99,jute
16,36,33,32.74,54.56,5.8,87.19,mango
1,57,25,21.55,67.69,6.62,53.37,lentil
63,49,44,24.59,75.93,6.22,157.57,jute
31,68,24,20.52,18.91,5.66,72.42,kidneybeans
103,60,17,26.94,84.77,7.59,86.38,cotton
82,42,21,18.24,55.37,6.73,78.01,maize
10,124,197,20.28,90.93,6.16,122.04,apple
28,16,12,30.93,90.85,6.04,115.58,orange
75,54,18,25.45,63.58,6.14,97.54,maize
102,16,50,27.21,91.86,6.92,22.92,muskmelon
82,11,54,28.93,93.36,6.63,20.99,muskmelon
92,88,48,26.5,82.43,6.05,117.09,banana
39,74,16,34.5,49.5,6.74,177.98,pigeonpeas
36,70,20,31.08,67.65,7.22,82.95,blackgram
88,14,48,29.14,93.8,6.1,22.57,muskmelon
62,50,42,20.12,82.05,5.84,257.42,rice
38,60,21,35.39,31.36,6.24,122.71,pigeonpeas
107,72,47,29.28,77.27,6.84,98.38,banana
21,43,23,29.15,82.49,6.62,57.67,mungbean
26,137,198,29.92,81.58,6.21,66.99,grapes
45,65,49,24.83,92.78,6.92,207.14,papaya
18,76,16,17.78,22.78,5.57,71.46,kidneybeans
15,72,15,19.02,67.16,6.07,42.49,lentil
54,79,76,20.71,16.95,6.52,81.07,chickpea
16,9,11,16.93,94.61,7.17,111.86,orange
17,31,43,19.11,91.1,6.14,107.51,pomegranate
25,79,81,17.91,18.03,7.24,77.54,chickpea
30,63,52,36.08,94.95,6.66,111.39,papaya
91,15,47,24.57,89.18,6.1,47.59,watermelon
60,78,20,33.42,65.21,6.94,67.23,blackgram
122,54,15,26.09,75.4,7.78,99.68,cotton
92,57,35,23.58,81.67,5.83,194.38,rice
31,140,201,11.01,81.95,5.58,69.08,grapes
112,45,22,25.41,78.15,6.27,85.3,cotton
19,8,35,26.07,90.67,6.09,209.11,coconut
56,64,76,17.57,18.57,7.24,68.54,chickpea
8,74,20,28.1,67.28,6.78,62.97,lentil
30,26,28,36.0,46.16,6.93,91.28,mango
95,50,35,20.71,82.65,5.51,199.3,rice
16,54,22,25.23,60.4,4.85,41.71,mothbeans
134,36,22,23.71,79.79,7.86,73.28,cotton
43,73,24,29.04,63.27,7.0,85.2,blackgram
25,20,29,27.39,49.76,6.31,89.55,mango
90,46,39,26.74,75.02,6.18,179.23,jute
19,38,17,31.93,81.42,6.5,55.45,mungbean
5,29,28,34.29,51.52,6.77,98.85,mango
111,40,22,25.17,80.93,6.03,89.15,cotton
106,75,49,28.08,75.83,6.88,114.11,banana
2,30,32,28.14,48.84,6.18,92.38,mango
19,50,18,30.47,88.6,6.78,40.99,mungbean
26,57,20,29.58,84.89,6.67,43.49,mungbean
86,45,36,25.4,88.05,6.57,160.82,jute
27,71,18,27.79,68.61,6.85,72.16,lentil
109,13,47,25.5,86.8,6.08,44.12,watermelon
11,25,15,10.75,94.49,7.25,119.47,orange
0,79,22,22.24,62.97,6.35,67.11,lentil
116,30,33,25.15,65.0,7.37,178.61,coffee
20,59,17,20.7,21.99,5.76,77.94,kidneybeans
32,78,22,16.07,21.46,5.8,81.21,kidneybeans
34,57,22,30.7,57.44,7.58,53.56,mothbeans
46,53,50,39.01,90.63,6.6,239.8,papaya
116,72,52,25.94,83.58,6.82,106.22,banana
67,59,43,26.58,83.58,6.4,290.62,rice
39,70,79,18.85,18.48,6.07,73.84,chickpea
13,21,7,10.36,93.82,7.25,115.25,orange
33,26,28,29.59,46.95,5.59,91.85,mango
62,40,40,25.58,70.91,7.42,192.11,jute
11,10,12,15.47,92.98,6.53,113.24,orange
5,25,33,27.71,45.8,6.03,103.83,mango
27,32,29,32.94,45.1,6.45,103.27,mango
23,74,16,19.43,59.13,5.74,165.72,pigeonpeas
49,72,25,26.28,61.04,7.09,79.46,blackgram
81,49,21,23.81,64.76,6.27,76.15,maize
65,48,23,19.73,61.23,5.63,62.58,maize
37,78,84,17.18,14.16,6.75,93.37,chickpea
11,50,25,29.05,46.5,7.3,51.2,mothbeans
82,50,44,25.31,76.91,7.2,177.01,jute
112,41,19,23.2,81.72,7.65,86.92,cotton
50,70,85,18.5,15.71,7.74,72.83,chickpea
63,44,36,26.04,82.49,6.0,187.63,rice
50,75,19,33.18,61.2,6.82,65.14,blackgram
43,62,48,27.0,90.92,6.67,130.29,papaya
18,63,21,24.32,64.26,6.13,71.03,lentil
89,71,46,26.69,83.03,6.57,105.38,banana
33,64,19,31.95,63.89,6.67,70.94,blackgram
136,55,22,25.4,84.46,6.59,60.04,cotton
19,141,197,31.05,82.43,5.8,66.37,grapes
7,57,23,30.17,61.12,8.07,53.79,mothbeans
37,66,48,42.47,94.85,6.79,70.03,papaya
17,16,12,24.36,93.34,7.55,117.24,orange
59,67,78,19.53,15.44,6.15,69.51,chickpea
87,6,45,24.53,88.67,6.28,54.26,watermelon
105,17,53,29.8,92.72,6.2,23.08,muskmelon
108,12,49,27.49,93.93,6.73,21.92,muskmelon
42,77,79,17.54,14.17,7.51,86.71,chickpea
85,51,40,20.63,83.34,5.98,202.38,rice
84,54,40,23.91,83.33,6.12,172.09,jute
11,39,31,30.47,50.8,5.71,93.88,mango
28,52,17,30.29,83.94,6.65,42.66,mungbean
88,88,48,26.03,80.17,6.01,90.23,banana
92,98,49,25.44,81.17,6.11,100.36,banana
6,13,38,23.95,90.61,6.52,101.15,pomegranate
101,17,50,29.9,90.26,6.5,23.59,muskmelon
33,57,21,22.66,45.57,5.22,129.12,pigeonpeas
30,25,30,31.92,50.77,6.8,104.61,mango
67,40,37,24.55,71.02,6.6,175.59,jute
35,61,16,31.03,66.68,6.93,76.59,blackgram
20,125,196,22.78,91.91,6.32,116.49,apple
74,42,40,20.99,83.21,5.61,298.43,rice
98,41,42,25.33,80.95,6.59,224.13,rice
14,17,35,18.17,93.32,6.27,105.18,pomegranate
18,133,201,10.44,82.73,5.74,72.14,grapes
96,28,34,23.98,50.45,7.29,178.86,coffee
82,13,47,29.91,90.57,6.4,23.69,muskmelon
25,59,76,19.56,15.09,6.69,96.39,chickpea
101,22,25,25.48,55.71,7.1,151.2,coffee
41,49,49,39.83,91.96,6.88,66.35,papaya
23,14,33,29.1,94.77,5.85,179.0,coconut
20,36,16,31.93,89.65,6.0,63.8,mungbean
34,47,17,31.35,84.45,6.51,48.98,mungbean
2,20,38,23.12,94.81,6.26,106.54,pomegranate
28,70,22,18.02,18.77,5.64,78.15,kidneybeans
106,98,54,28.83,82.88,6.66,97.81,banana
17,8,31,29.69,96.62,5.58,178.37,coconut
40,26,32,28.41,49.86,5.54,95.11,mango
86,56,35,24.99,83.79,6.38,165.39,jute
88,57,44,25.46,82.57,5.63,199.4,rice
1,37,19,27.66,85.68,6.69,60.01,mungbean
33,56,48,30.21,94.17,6.97,79.0,papaya
81,50,44,25.69,79.63,7.21,197.53,jute
5,36,24,28.93,59.91,6.39,38.52,mothbeans
8,17,43,21.88,85.05,6.76,100.35,pomegranate
9,36,15,31.9,50.69,5.81,55.39,mothbeans
39,65,78,17.23,19.19,7.63,99.99,chickpea
16,134,200,20.78,94.29,6.18,120.95,apple
18,77,21,19.75,22.74,5.75,64.35,kidneybeans
37,127,204,18.93,81.91,5.73,71.4,grapes
23,69,85,19.09,17.78,7.39,80.91,chickpea
68,62,54,28.58,93.06,6.84,106.69,papaya
27,22,9,33.54,90.84,7.0,113.82,orange
60,59,54,40.17,93.79,6.53,41.44,papaya
21,53,16,27.3,82.47,6.16,61.79,mungbean
70,45,43,21.6,80.31,5.93,199.35,rice
106,16,45,27.75,91.07,6.27,21.24,muskmelon
6,58,21,27.3,66.44,6.53,41.47,lentil
31,64,16,34.37,65.54,6.46,74.92,blackgram
46,69,22,29.65,60.6,6.84,88.94,blackgram
22,62,83,19.99,15.11,6.42,77.97,chickpea
137,51,16,24.01,82.29,7.56,64.73,cotton
23,75,15,17.33,20.39,5.77,105.99,kidneybeans
138,49,20,22.43,80.49,6.76,84.29,cotton
31,66,50,39.28,91.17,6.67,46.32,papaya
80,49,20,19.56,62.22,5.92,61.22,maize
28,78,16,33.17,63.81,7.32,86.7,blackgram
75,59,42,24.19,80.62,5.73,186.97,rice
89,37,28,24.1,52.76,7.29,175.0,coffee
95,11,54,29.48,93.49,6.71,22.31,muskmelon
73,36,43,25.81,76.63,7.01,169.8,jute
79,40,42,25.23,77.17,7.37,151.05,jute
18,78,24,18.63,21.55,5.7,62.74,kidneybeans
31,57,16,33.94,61.92,6.49,70.67,blackgram
36,14,38,23.32,89.5,6.78,100.65,pomegranate
8,36,44,24.09,87.39,6.45,109.85,pomegranate
109,8,55,26.98,87.12,6.98,48.54,watermelon
21,67,17,36.77,67.76,4.6,167.61,pigeonpeas
88,9,52,29.91,93.02,6.08,20.38,muskmelon
106,42,19,24.04,81.8,6.11,61.39,cotton
116,41,16,23.57,75.97,6.35,99.49,cotton
96,9,49,29.69,93.33,6.79,22.27,muskmelon
18,68,18,24.78,66.89,6.87,62.27,lentil
16,29,30,26.38,97.09,5.77,222.34,coconut
86,42,25,23.9,60.54,6.42,80.98,maize
29,75,18,29.76,66.02,6.58,66.18,lentil
5,53,24,27.9,82.38,6.97,44.52,mungbean
84,21,28,27.04,67.51,6.45,192.93,coffee
16,9,32,29.86,95.62,6.21,155.48,coconut
31,58,24,19.39,20.01,5.57,99.7,kidneybeans
93,16,46,27.83,91.38,6.43,24.9,muskmelon
83,15,32,26.21,58.22,6.73,170.77,coffee
21,15,43,22.04,91.35,6.8,103.96,pomegranate
94,35,31,24.31,63.9,6.85,189.81,coffee
113,88,46,25.47,84.1,6.67,114.88,banana
137,45,16,25.57,77.93,7.05,87.91,cotton
108,79,50,29.11,79.59,6.36,104.83,banana
9,15,33,29.12,93.85,5.96,174.26,coconut
112,71,51,29.98,83.56,6.52,91.91,banana
31,77,21,22.43,30.98,6.68,92.34,pigeonpeas
37,79,19,23.14,55.76,5.52,92.79,pigeonpeas
50,46,45,34.57,92.19,6.92,73.74,papaya
9,25,34,25.48,94.5,5.84,219.66,coconut
8,39,16,30.18,87.06,6.03,63.41,mungbean
129,50,17,22.13,77.85,6.89,84.68,cotton
30,140,202,12.86,83.01,6.27,71.59,grapes
117,16,27,27.43,59.17,6.85,183.15,coffee
39,38,32,32.33,53.7,5.7,100.81,mango
100,46,39,24.6,72.3,7.32,170.74,jute
24,57,24,20.6,68.01,5.62,110.36,pigeonpeas
26,61,23,33.19,57.79,5.18,154.93,pigeonpeas
38,115,205,31.01,83.31,5.79,65.14,grapes
73,59,38,23.63,82.81,6.05,296.61,rice
20,54,22,27.57,46.84,9.48,47.79,mothbeans
38,62,49,31.45,94.42,6.95,230.93,papaya
72,43,42,24.46,83.55,6.21,194.35,rice
67,52,39,26.56,80.55,6.01,193.62,rice
34,132,198,23.17,92.26,5.68,121.37,apple
37,38,24,29.5,41.7,5.31,56.25,mothbeans
96,9,48,28.06,93.11,6.33,23.66,muskmelon
35,132,196,21.55,94.02,6.4,105.09,apple
30,56,22,29.8,62.39,6.14,44.25,lentil
4,28,43,20.66,92.76,6.96,102.04,pomegranate
100,9,48,26.75,82.91,6.47,53.35,watermelon
30,12,45,20.58,88.27,6.15,103.06,pomegranate
9,59,23,24.72,50.44,8.77,63.34,mothbeans
15,58,23,21.39,56.11,5.1,100.94,pigeonpeas
81,18,45,29.11,94.85,6.44,21.17,muskmelon
20,6,36,24.35,86.39,6.53,104.11,pomegranate
30,68,21,15.13,23.23,5.97,88.26,kidneybeans
28,21,8,13.91,93.18,7.2,103.59,orange
18,39,23,29.55,45.52,3.99,55.41,mothbeans
90,38,24,22.04,63.26,5.98,104.78,maize
88,12,51,24.22,86.22,6.98,42.85,watermelon
29,60,21,29.11,68.4,7.35,73.84,blackgram
5,19,43,20.69,90.72,6.59,101.84,pomegranate
81,55,44,22.23,80.44,5.84,231.25,rice
33,139,201,25.69,80.57,6.28,67.71,grapes
115,87,50,27.15,78.17,6.43,113.22,banana
27,71,21,18.8,65.18,6.15,65.81,lentil
28,124,196,34.58,82.58,5.55,68.6,grapes
93,25,27,23.48,53.58,7.2,183.88,coffee
22,53,17,31.98,89.75,6.65,44.99,mungbean
104,12,50,25.3,80.44,6.17,46.68,watermelon
112,40,23,23.27,83.66,6.21,65.04,cotton
33,36,34,31.31,48.19,6.37,92.42,mango
31,69,19,21.91,21.63,5.62,65.09,kidneybeans
11,55,18,29.28,80.12,6.07,49.81,mungbean
116,78,55,25.7,77.02,6.18,116.82,banana
119,20,33,24.67,64.62,6.63,178.92,coffee
97,12,51,25.55,87.59,6.28,45.3,watermelon
54,56,47,25.45,92.73,6.95,112.23,papaya
26,144,203,8.8,83.59,6.28,72.8,grapes
92,43,36,24.79,81.76,5.68,239.42,rice
88,45,17,19.25,57.5,6.32,95.73,maize
86,27,31,25.85,54.2,7.11,151.26,coffee
17,6,8,10.84,94.4,6.49,111.15,orange
26,138,195,20.87,93.31,5.98,100.13,apple
96,55,41,26.1,83.21,5.78,287.11,rice
94,53,20,18.78,59.92,6.21,68.66,maize
85,19,34,27.4,68.14,7.49,160.42,coffee
85,57,43,25.33,84.6,6.55,182.05,jute
65,42,39,23.19,83.14,5.8,241.71,rice
93,5,50,25.99,81.19,6.29,45.97,watermelon
23,25,6,24.52,92.53,6.29,112.48,orange
81,99,52,26.52,83.29,6.28,116.18,banana
32,21,40,18.93,85.81,6.73,104.96,pomegranate
3,141,198,21.78,90.11,5.8,112.57,apple
26,38,36,18.4,87.82,6.26,102.47,pomegranate
34,124,203,38.32,81.74,6.41,68.77,grapes
24,56,21,31.07,65.47,6.35,74.77,blackgram
96,57,38,24.62,83.27,6.33,243.56,rice
44,47,50,42.34,90.2,6.65,83.58,papaya
13,66,21,29.32,62.41,6.12,46.91,lentil
80,56,22,19.3,55.71,6.46,61.33,maize
34,57,20,25.68,68.0,6.35,78.5,blackgram
64,50,25,19.12,60.18,6.82,97.04,maize
14,36,25,31.07,63.19,9.47,40.22,mothbeans
38,70,20,34.19,64.97,7.49,86.29,blackgram
102,27,34,23.36,55.61,6.52,189.12,coffee
26,45,18,31.87,50.23,8.86,41.9,mothbeans
27,16,32,29.12,91.46,6.33,193.22,coconut
92,6,53,27.86,92.16,6.69,21.66,muskmelon
11,50,24,28.05,86.23,6.63,58.33,mungbean
21,13,31,26.63,90.39,5.77,150.51,coconut
87,15,47,24.97,88.48,6.73,41.43,watermelon
102,25,30,27.98,52.7,7.01,169.8,coffee
86,59,37,24.91,82.04,6.87,170.07,jute
59,55,85,17.17,19.35,7.06,99.75,chickpea
22,15,33,29.07,96.12,5.87,170.43,coconut
31,38,23,28.33,64.07,5.55,53.98,mothbeans
102,18,47,28.76,93.51,6.68,22.04,muskmelon
27,37,24,27.96,52.01,7.05,59.74,mothbeans
114,84,55,28.17,76.26,6.68,99.75,banana
23,46,22,29.43,88.73,6.9,50.54,mungbean
99,14,53,29.72,90.06,6.67,20.26,muskmelon
38,131,198,10.61,82.0,6.29,72.07,grapes
33,115,199,19.47,80.08,5.62,69.14,grapes
82,12,52,28.82,93.36,6.08,24.76,muskmelon
17,53,17,24.88,48.87,5.22,43.89,mothbeans
108,20,45,26.28,83.72,6.39,51.31,watermelon
89,10,52,26.45,81.82,6.37,53.53,watermelon
44,67,25,26.36,66.95,6.61,75.7,blackgram
86,14,47,24.99,88.55,6.21,41.07,watermelon
64,69,54,38.52,91.39,6.64,242.31,papaya
20,57,22,19.02,23.05,5.57,99.76,kidneybeans
40,13,12,30.17,94.29,8.0,104.83,orange
59,59,81,18.52,19.82,7.68,94.34,chickpea
33,78,24,18.16,18.68,5.99,101.94,kidneybeans
113,35,34,23.3,63.84,6.21,170.79,coffee
19,67,19,21.4,20.17,5.79,91.61,kidneybeans
33,24,13,14.69,90.44,7.4,107.37,orange
72,37,37,23.51,72.47,6.78,162.29,jute
82,56,41,26.14,81.97,6.62,197.9,jute
27,47,21,31.34,85.71,6.03,63.27,mungbean
82,19,50,25.23,88.11,6.84,44.98,watermelon
107,38,35,26.6,55.74,7.32,152.46,coffee
108,15,52,29.59,91.37,6.81,20.98,muskmelon
19,12,6,14.19,90.74,7.95,115.19,orange
63,40,35,22.28,81.55,5.91,279.45,rice
82,50,37,25.5,81.43,6.28,152.98,jute
94,43,17,22.45,64.36,6.54,88.5,maize
20,56,18,29.31,32.06,5.74,155.65,pigeonpeas
24,77,25,27.44,63.15,6.69,55.32,lentil
100,99,49,29.92,81.68,6.63,94.98,banana
11,125,198,20.97,91.07,5.92,122.7,apple
40,26,13,16.23,92.88,6.13,101.9,orange
39,133,199,30.03,80.49,6.39,70.03,grapes
83,51,19,20.35,58.29,6.51,97.62,maize
33,73,21,19.86,21.26,5.63,77.28,kidneybeans
79,45,43,23.58,80.11,6.09,153.56,jute
2,132,204,20.42,93.82,5.91,116.38,apple
102,19,49,27.78,92.17,6.72,20.05,muskmelon
24,71,16,22.06,69.28,6.22,53.03,lentil
4,14,29,28.38,96.58,5.57,181.62,coconut
31,6,36,21.25,94.09,6.54,104.98,pomegranate
93,6,46,26.3,80.0,6.42,47.84,watermelon
35,48,24,30.39,64.95,5.6,58.02,mothbeans
5,69,25,29.25,60.43,6.16,44.61,lentil
116,48,17,24.86,83.05,7.52,66.16,cotton
20,31,34,27.19,49.77,6.53,99.45,mango
109,51,22,23.09,75.6,6.26,84.24,cotton
88,53,19,20.35,63.09,6.72,103.35,maize
21,73,24,33.77,45.89,6.17,112.55,pigeonpeas
90,10,55,29.57,93.51,6.73,22.81,muskmelon
102,20,47,25.99,87.42,6.85,46.34,watermelon
113,80,47,28.56,83.26,6.1,97.2,banana
31,38,25,29.27,82.36,6.07,44.24,mungbean
25,27,29,36.94,53.8,6.44,96.39,mango
98,14,51,27.73,93.57,6.09,21.0,muskmelon
38,79,24,27.01,64.48,6.61,125.1,pigeonpeas
74,38,39,23.65,84.69,6.31,152.93,jute
26,142,201,22.53,90.78,5.97,117.91,apple
96,16,47,26.34,85.84,6.95,40.64,watermelon
86,15,55,27.31,90.04,6.43,20.46,muskmelon
119,35,16,23.29,75.28,7.26,77.06,cotton
36,56,21,22.37,34.82,4.69,166.59,pigeonpeas
30,67,53,36.17,93.75,6.58,136.25,papaya
15,24,30,28.54,50.54,6.31,100.24,mango
104,92,50,28.17,75.71,6.25,100.86,banana
2,15,6,10.56,91.8,7.57,111.32,orange
26,68,19,25.61,52.39,4.89,110.01,pigeonpeas
34,16,29,29.58,92.51,6.34,188.72,coconut
17,68,19,21.88,18.67,5.7,108.47,kidneybeans
29,77,22,33.32,56.35,6.23,183.41,pigeonpeas
52,75,18,25.81,64.03,6.26,82.37,blackgram
101,6,46,24.02,86.31,6.45,42.01,watermelon
3,142,199,22.17,94.84,5.57,116.21,apple
37,75,18,16.2,22.01,5.96,87.84,kidneybeans
20,124,196,29.4,80.22,6.25,68.18,grapes
89,85,46,26.92,79.88,6.65,118.52,banana
29,40,44,22.5,89.21,6.64,107.86,pomegranate
19,11,44,23.95,91.69,6.46,104.12,pomegranate
8,76,15,28.82,64.61,6.64,63.08,lentil
104,19,54,26.88,85.21,6.98,51.36,watermelon
20,60,15,26.97,52.59,4.66,175.31,pigeonpeas
28,49,15,28.63,85.18,6.09,48.77,mungbean
21,58,15,27.61,84.52,6.93,47.9,mungbean
80,19,48,29.03,93.53,6.61,21.56,muskmelon
104,97,49,28.04,81.31,6.59,111.08,banana
9,58,22,18.75,65.09,7.0,68.49,lentil
82,20,47,24.91,83.04,6.23,40.02,watermelon
24,39,19,31.85,82.58,6.66,48.13,mungbean
6,14,14,13.87,90.41,6.97,106.05,orange
37,8,34,28.42,95.32,5.53,188.05,coconut
50,64,50,33.15,94.19,6.68,220.56,papaya
127,49,19,23.38,82.69,6.45,87.69,cotton
59,61,54,40.24,92.83,6.83,228.66,papaya
19,73,22,18.51,38.88,5.08,163.91,pigeonpeas
97,17,50,24.04,80.09,6.36,53.89,watermelon
47,60,55,39.16,91.99,6.91,75.85,papaya
37,59,51,33.28,93.22,6.61,156.06,papaya
29,75,18,33.23,64.24,7.0,67.39,blackgram
36,24,27,27.25,51.46,6.46,91.81,mango
61,37,22,18.57,58.19,6.77,61.16,maize
31,65,16,26.81,66.81,6.27,78.13,blackgram
30,66,24,33.53,43.67,5.15,131.77,pigeonpeas
105,49,22,25.5,82.53,7.75,80.0,cotton
23,30,13,21.06,93.54,6.78,104.58,orange
2,49,22,31.35,87.14,6.8,48.49,mungbean
82,37,36,23.42,81.71,6.82,161.69,jute
88,14,54,29.84,90.53,6.15,24.72,muskmelon
113,49,24,23.01,84.34,7.38,92.93,cotton
28,56,18,15.94,18.38,5.99,76.12,kidneybeans
19,26,6,18.38,90.34,7.95,116.34,orange
5,116,203,35.44,80.48,5.77,65.18,grapes
94,32,30,25.09,57.16,6.89,178.78,coffee
26,24,36,21.59,93.06,6.46,100.52,pomegranate
22,75,17,24.07,68.41,6.73,58.98,lentil
83,59,21,21.11,61.43,6.19,87.28,maize
80,14,48,28.35,94.79,6.4,24.2,muskmelon
24,22,13,30.07,94.8,7.07,109.77,orange
45,62,46,34.99,90.93,6.64,85.93,papaya
20,78,21,17.81,20.77,5.97,67.67,kidneybeans
5,52,19,25.6,52.29,3.89,52.46,mothbeans
27,72,17,30.36,60.97,6.68,83.9,blackgram
103,40,23,22.26,79.93,6.88,73.38,cotton
16,13,25,29.13,98.01,5.6,196.15,coconut
69,56,50,28.18,92.35,6.83,197.75,papaya
0,122,202,18.75,80.41,5.86,67.7,grapes
102,81,55,25.55,79.23,6.04,112.2,banana
16,126,197,23.84,93.08,6.06,110.39,apple
16,47,21,30.99,64.6,8.11,47.53,mothbeans
39,54,16,30.07,40.61,3.63,44.71,mothbeans
34,72,23,34.27,62.35,6.6,68.81,blackgram
31,50,48,33.72,93.08,6.96,147.07,papaya
85,91,50,25.48,77.42,6.01,104.06,banana
107,19,54,25.26,87.8,6.48,47.46,watermelon
123,49,20,22.35,75.9,7.2,73.64,cotton
34,26,33,35.93,45.62,6.83,93.97,mango
20,60,17,19.18,66.6,6.76,49.28,lentil
12,38,38,21.01,93.73,6.84,101.86,pomegranate
0,120,202,30.66,83.86,6.26,74.51,grapes
20,127,200,28.23,80.04,5.96,74.63,grapes
45,66,21,26.68,67.37,7.29,70.42,blackgram
83,49,44,25.23,89.2,6.07,154.9,jute
63,48,52,34.16,91.44,6.75,102.99,papaya
9,129,199,20.27,91.85,5.96,118.07,apple
